name,version,directory,repository,summary,from package.json,from license,from readme
accepts,1.3.3,/Users/Joe/Dropbox/Projects/portfolio/node_modules/accepts,https://github.com/jshttp/accepts,MIT,MIT,MIT,
acorn,1.2.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/acorn,https://github.com/marijnh/acorn,MIT,MIT,,
amdefine,1.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/amdefine,https://github.com/jrburke/amdefine,BSD;BSD-3-Clause AND MIT;MIT,BSD-3-Clause AND MIT,BSD;MIT,BSD
ansi-regex,2.0.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ansi-regex,https://github.com/sindresorhus/ansi-regex,MIT,MIT,MIT,MIT
ansi-styles,2.2.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ansi-styles,https://github.com/chalk/ansi-styles,MIT,MIT,MIT,MIT
array-flatten,1.1.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/array-flatten,http://github.com/blakeembrey/array-flatten,MIT,MIT,MIT,MIT
asap,2.0.4,/Users/Joe/Dropbox/Projects/portfolio/node_modules/asap,https://github.com/kriskowal/asap,MIT,MIT,,MIT
ast-types,0.8.15,/Users/Joe/Dropbox/Projects/portfolio/node_modules/ast-types,http://github.com/benjamn/ast-types,MIT,MIT,,
babel-code-frame,6.16.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/babel-code-frame,https://github.com/babel/babel/tree/master/packages/babel-code-frame,MIT,MIT,,
babel-messages,6.8.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-messages,https://github.com/babel/babel/tree/master/packages/babel-messages,MIT,MIT,,
babel-runtime,6.9.2,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-runtime,https://github.com/babel/babel/tree/master/packages/babel-runtime,MIT,MIT,,
babel-template,6.16.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template,https://github.com/babel/babel/tree/master/packages/babel-template,MIT,MIT,,
babel-traverse,6.18.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/babel-traverse,https://github.com/babel/babel/tree/master/packages/babel-traverse,MIT,MIT,,
babel-types,6.18.0,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/babel-types,https://github.com/babel/babel/tree/master/packages/babel-types,MIT,MIT,,
babylon,6.13.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/babel-template/node_modules/babylon,https://github.com/babel/babylon,MIT,MIT,,
balanced-match,0.4.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/balanced-match,http://github.com/juliangruber/balanced-match,MIT,MIT,MIT,MIT
base62,1.1.1,/Users/Joe/Dropbox/Projects/portfolio/node_modules/base62,https://github.com/andrew/base62.js,MIT,MIT,,
bluebird,3.4.6,/Users/Joe/Dropbox/Projects/portfolio/node_modules/bluebird,http://github.com/petkaantonov/bluebird,MIT,MIT,MIT,MIT
brace-expansion,1.1.5,/Users/Joe/Dropbox/Projects/portfolio/node_modules/brace-expansion,http://github.com/juliangruber/brace-expansion,MIT,MIT,,MIT
chalk,1.1.3,/Users/Joe/Dropbox/Projects/portfolio/node_modules/chalk,https://github.com/chalk/chalk,MIT,MIT,MIT,MIT
